2019-06-20 11:54:06,119	DEBUG	update_title_pos
2019-06-20 11:54:06,159	DEBUG	update_title_pos
2019-06-20 11:54:07,482	DEBUG	update_title_pos
2019-06-20 11:54:07,610	DEBUG	update_title_pos
2019-06-20 11:54:07,698	DEBUG	update_title_pos
2019-06-20 11:54:07,766	DEBUG	update_title_pos
2019-06-20 11:54:12,973	DEBUG	update_title_pos
2019-06-20 11:54:13,169	DEBUG	update_title_pos
2019-06-20 11:54:16,208	DEBUG	update_title_pos
2019-06-20 11:54:16,360	DEBUG	update_title_pos
2019-06-20 11:54:16,544	DEBUG	update_title_pos
2019-06-20 11:54:16,696	DEBUG	update_title_pos
2019-06-20 11:54:16,876	DEBUG	update_title_pos
2019-06-20 11:54:17,024	DEBUG	update_title_pos
2019-06-20 11:54:17,487	DEBUG	update_title_pos
2019-06-20 11:54:17,631	DEBUG	update_title_pos
2019-06-20 11:54:18,843	DEBUG	update_title_pos
2019-06-20 11:54:18,999	DEBUG	update_title_pos
2019-06-20 11:54:19,155	DEBUG	update_title_pos
2019-06-20 11:54:19,311	DEBUG	update_title_pos
2019-06-20 11:54:19,463	DEBUG	update_title_pos
2019-06-20 11:54:19,619	DEBUG	update_title_pos
2019-06-20 11:54:19,771	DEBUG	update_title_pos
2019-06-20 11:54:19,923	DEBUG	update_title_pos
2019-06-20 11:54:20,079	DEBUG	update_title_pos
2019-06-20 11:54:20,239	DEBUG	update_title_pos
2019-06-20 11:54:20,391	DEBUG	update_title_pos
2019-06-20 11:54:20,542	DEBUG	update_title_pos
2019-06-20 11:54:20,702	DEBUG	update_title_pos
2019-06-20 11:54:20,854	DEBUG	update_title_pos
2019-06-20 11:54:21,006	DEBUG	update_title_pos
2019-06-20 11:54:21,162	DEBUG	update_title_pos
2019-06-20 11:54:21,314	DEBUG	update_title_pos
2019-06-20 11:54:23,302	DEBUG	update_title_pos
2019-06-20 11:54:23,458	DEBUG	update_title_pos
2019-06-20 11:54:23,606	DEBUG	update_title_pos
2019-06-20 11:54:23,762	DEBUG	update_title_pos
2019-06-20 11:54:23,921	DEBUG	update_title_pos
2019-06-20 11:54:24,201	DEBUG	update_title_pos
2019-06-20 11:54:24,377	DEBUG	update_title_pos
2019-06-20 11:54:24,541	DEBUG	update_title_pos
2019-06-20 11:54:24,705	DEBUG	update_title_pos
2019-06-20 11:54:24,873	DEBUG	update_title_pos
2019-06-20 11:54:25,057	DEBUG	update_title_pos
2019-06-20 11:54:25,217	DEBUG	update_title_pos
2019-06-20 11:54:25,385	DEBUG	update_title_pos
2019-06-20 11:54:25,541	DEBUG	update_title_pos
2019-06-20 11:54:25,705	DEBUG	update_title_pos
2019-06-20 11:54:25,869	DEBUG	update_title_pos
2019-06-20 11:54:26,037	DEBUG	update_title_pos
2019-06-20 11:54:26,201	DEBUG	update_title_pos
2019-06-20 11:54:26,357	DEBUG	update_title_pos
2019-06-20 11:54:26,517	DEBUG	update_title_pos
2019-06-20 11:54:26,677	DEBUG	update_title_pos
2019-06-20 11:54:26,841	DEBUG	update_title_pos
2019-06-20 11:54:27,021	DEBUG	update_title_pos
2019-06-20 11:54:27,185	DEBUG	update_title_pos
2019-06-20 11:54:27,344	DEBUG	update_title_pos
2019-06-20 11:54:27,500	DEBUG	update_title_pos
2019-06-20 11:54:27,660	DEBUG	update_title_pos
2019-06-20 11:54:27,824	DEBUG	update_title_pos
2019-06-20 11:54:27,984	DEBUG	update_title_pos
2019-06-20 11:54:28,396	DEBUG	update_title_pos
2019-06-20 11:54:28,560	DEBUG	update_title_pos
2019-06-20 11:54:28,736	DEBUG	update_title_pos
2019-06-20 11:54:28,912	DEBUG	update_title_pos
2019-06-20 11:54:29,100	DEBUG	update_title_pos
2019-06-20 11:54:29,264	DEBUG	update_title_pos
2019-06-20 11:54:29,432	DEBUG	update_title_pos
2019-06-20 11:54:29,596	DEBUG	update_title_pos
2019-06-20 11:54:29,768	DEBUG	update_title_pos
2019-06-20 11:54:29,936	DEBUG	update_title_pos
2019-06-20 11:54:30,112	DEBUG	update_title_pos
2019-06-20 11:54:30,284	DEBUG	update_title_pos
2019-06-20 11:54:30,456	DEBUG	update_title_pos
2019-06-20 11:54:30,635	DEBUG	update_title_pos
2019-06-20 11:54:30,803	DEBUG	update_title_pos
2019-06-20 11:54:30,975	DEBUG	update_title_pos
2019-06-20 11:54:31,151	DEBUG	update_title_pos
2019-06-20 11:54:31,323	DEBUG	update_title_pos
2019-06-20 11:54:31,503	DEBUG	update_title_pos
2019-06-20 11:54:31,667	DEBUG	update_title_pos
2019-06-20 11:54:31,839	DEBUG	update_title_pos
2019-06-20 11:54:45,556	DEBUG	update_title_pos
2019-06-20 11:54:45,724	DEBUG	update_title_pos
2019-06-20 11:54:45,900	DEBUG	update_title_pos
2019-06-20 11:54:46,080	DEBUG	update_title_pos
2019-06-20 11:54:46,248	DEBUG	update_title_pos
2019-06-20 11:54:46,444	DEBUG	update_title_pos
2019-06-20 11:54:46,616	DEBUG	update_title_pos
2019-06-20 11:54:46,784	DEBUG	update_title_pos
2019-06-20 11:54:46,996	DEBUG	update_title_pos
2019-06-20 11:54:47,164	DEBUG	update_title_pos
2019-06-20 11:54:47,328	DEBUG	update_title_pos
2019-06-20 11:54:47,500	DEBUG	update_title_pos
2019-06-20 11:54:47,676	DEBUG	update_title_pos
2019-06-20 11:54:47,844	DEBUG	update_title_pos
2019-06-20 11:54:48,016	DEBUG	update_title_pos
2019-06-20 11:54:48,183	DEBUG	update_title_pos
2019-06-20 11:54:48,351	DEBUG	update_title_pos
2019-06-20 11:54:48,519	DEBUG	update_title_pos
2019-06-20 11:54:48,691	DEBUG	update_title_pos
2019-06-20 11:54:48,859	DEBUG	update_title_pos
2019-06-20 11:54:49,071	DEBUG	update_title_pos
