---------- Counts of Element Pb ----------
row	column	line1	line2	ratio
2	59	0	0	0.000000
2	60	0	0	0.000000
2	61	0	0	0.000000
2	62	21	16	1.352505
2	63	0	0	0.000000
2	64	20	25	0.808682
2	65	0	0	0.000000
2	66	0	0	0.000000
2	67	0	0	0.000000
2	68	23	14	1.613228
2	69	0	0	0.000000
2	70	26	0	0.000000
2	71	20	19	1.066142
2	72	0	0	0.000000
2	73	28	0	0.000000
2	74	0	0	0.000000
2	75	0	0	0.000000
2	76	0	0	0.000000
3	0	0	0	0.000000
3	1	22	0	0.000000
3	2	22	0	0.000000
3	3	25	0	0.000000
3	4	0	0	0.000000
3	5	0	0	0.000000
3	6	0	0	0.000000
3	7	18	15	1.204958
3	8	0	0	0.000000
3	9	0	0	0.000000
3	10	18	0	0.000000
3	11	0	0	0.000000
3	12	4	0	0.000000
3	13	0	0	0.000000
3	14	0	0	0.000000
3	15	0	0	0.000000
3	16	0	0	0.000000
3	17	0	0	0.000000
3	18	9	0	0.000000
3	19	21	7	2.750000
3	20	26	17	1.499994
3	21	41	21	1.908636
3	22	57	30	1.870977
3	23	68	36	1.864450
3	24	65	52	1.245068
3	25	75	54	1.382326
3	26	86	51	1.675656
3	27	106	60	1.753187
3	28	127	88	1.431507
3	29	115	88	1.303910
3	30	124	84	1.469588
3	31	99	59	1.661381
3	32	89	69	1.286426
3	33	118	78	1.507442
3	34	112	78	1.424391
3	35	106	62	1.697891
3	36	126	77	1.625023
3	37	152	94	1.608373
3	38	106	74	1.426374
3	39	82	54	1.509202
3	40	54	43	1.249892
3	41	65	38	1.692280
3	42	79	57	1.379311
3	43	73	45	1.609092
3	44	69	42	1.628060
3	45	66	53	1.234536
3	46	70	40	1.729910
3	47	66	0	0.000000
3	48	62	48	1.285756
3	49	69	38	1.777427
3	50	70	55	1.271662
3	51	63	51	1.230800
3	52	71	56	1.263287
3	53	61	37	1.620493
3	54	50	37	1.329746
3	55	27	25	1.064602
3	56	0	0	0.000000
3	57	0	0	0.000000
3	58	25	0	0.000000
3	59	0	0	0.000000
3	60	17	17	0.985250
3	61	0	0	0.000000
3	62	17	0	0.000000
3	63	0	0	0.000000
3	64	22	0	0.000000
3	65	0	0	0.000000
3	66	0	0	0.000000
3	67	19	0	0.000000
3	68	19	17	1.141005
3	69	0	0	0.000000
3	70	0	0	0.000000
3	71	30	20	1.495960
3	72	26	0	0.000000
3	73	0	0	0.000000
3	74	0	0	0.000000
3	75	0	0	0.000000
3	76	0	0	0.000000
4	0	0	0	0.000000
4	1	0	0	0.000000
4	2	0	0	0.000000
4	3	28	0	0.000000
4	4	0	0	0.000000
4	5	0	0	0.000000
4	6	18	0	0.000000
4	7	0	0	0.000000
4	8	0	0	0.000000
4	9	0	0	0.000000
4	10	13	9	1.357075
4	11	9	0	0.000000
4	12	0	0	0.000000
4	13	0	0	0.000000
4	14	0	0	0.000000
4	15	0	0	0.000000
4	16	0	0	0.000000
4	17	10	7	1.375014
4	18	0	0	0.000000
4	19	34	20	1.666660
4	20	51	27	1.857086
4	21	44	40	1.097568
4	22	71	37	1.893940
4	23	70	44	1.581170
4	24	60	41	1.449733
4	25	57	53	1.079228
4	26	88	37	2.347676
4	27	84	54	1.543756
4	28	108	64	1.672374
4	29	142	92	1.537596
4	30	107	65	1.641513
