---------- Thickness Values (um) of PbWhite ----------
row	column	thickness
3	76	0.000000
4	0	0.000000
4	1	0.000000
4	2	0.000000
4	3	0.000000
4	4	0.000000
4	5	0.000000
4	6	0.000000
4	7	0.000000
4	8	0.000000
4	9	0.000000
4	10	0.000000
4	11	0.000000
4	12	0.000000
4	13	0.000000
4	14	0.000000
4	15	0.000000
4	16	0.000000
4	17	3.806401
4	18	0.000000
4	19	5.193392
4	20	3.745432
4	21	5.293545
4	22	7.368120
4	23	2.156149
4	24	2.370827
4	25	2.387829
4	26	4.298356
4	27	3.539975
4	28	6.082760
4	29	5.327539
4	30	4.810319
4	31	5.910578
4	32	7.426204
4	33	4.122846
4	34	5.603838
4	35	4.767645
4	36	3.644418
4	37	5.450483
4	38	5.121326
4	39	3.987800
4	40	4.321066
4	41	3.706247
4	42	3.585781
4	43	4.315126
4	44	3.734836
4	45	5.454221
4	46	4.959368
4	47	4.609359
4	48	1.919512
4	49	2.963649
4	50	5.090292
4	51	4.838526
4	52	4.562860
4	53	4.953532
4	54	4.434065
4	55	4.768473
4	56	2.242666
4	57	0.000000
4	58	0.000000
4	59	0.000000
4	60	0.000000
4	61	0.000000
4	62	0.000000
4	63	0.000000
4	64	0.000000
4	65	0.000000
4	66	0.000000
4	67	0.000000
4	68	0.000000
4	69	0.000000
4	70	0.000000
4	71	0.000000
4	72	0.000000
4	73	0.000000
4	74	0.000000
4	75	0.000000
4	76	0.000000
5	0	0.000000
5	1	0.000000
5	2	0.000000
5	3	0.000000
5	4	0.000000
5	5	0.000000
5	6	0.000000
5	7	0.000000
5	8	0.000000
5	9	0.000000
5	10	0.000000
5	11	0.000000
5	12	0.000000
5	13	0.000000
5	14	0.000000
5	15	0.000000
5	16	2.324185
5	17	3.154201
5	18	0.000000
5	19	3.661458
5	20	5.860043
5	21	4.334751
5	22	5.782652
5	23	2.971248
5	24	4.144340
5	25	4.802109
5	26	6.105234
5	27	5.516838
5	28	5.429314
5	29	5.164871
5	30	6.335181
5	31	3.129256
5	32	2.409050
5	33	4.215025
5	34	3.822305
5	35	2.178170
5	36	2.173146
5	37	3.323529
5	38	4.979933
5	39	3.274339
5	40	5.022681
5	41	0.000000
5	42	4.919178
5	43	3.739057
5	44	7.047478
5	45	2.783371
5	46	0.000000
5	47	2.553784
5	48	5.960492
5	49	6.673127
5	50	2.574624
5	51	4.512237
5	52	5.396100
5	53	4.883152
5	54	3.566433
5	55	4.604459
5	56	3.495298
5	57	3.596158
5	58	0.000000
5	59	0.000000
5	60	0.000000
5	61	0.000000
5	62	0.000000
5	63	0.000000
5	64	0.000000
5	65	0.000000
5	66	0.000000
5	67	25.147827
5	68	0.000000
5	69	0.000000
5	70	0.000000
5	71	0.000000
5	72	0.000000
5	73	0.000000
5	74	0.000000
5	75	0.000000
5	76	0.000000
6	0	0.000000
6	1	0.000000
6	2	0.000000
6	3	0.000000
6	4	0.000000
6	5	0.000000
6	6	0.000000
6	7	41.992587
6	8	0.000000
6	9	0.000000
6	10	0.000000
6	11	0.000000
6	12	0.000000
6	13	0.000000
6	14	0.000000
6	15	0.000000
6	16	3.525748
6	17	4.271738
6	18	4.739651
6	19	4.417329
6	20	5.341198
6	21	4.667403
6	22	3.204212
6	23	3.000154
6	24	0.000000
6	25	4.060845
6	26	4.769180
6	27	5.435373
6	28	4.248861
6	29	4.558670
6	30	4.758562
6	31	2.134913
6	32	4.967219
6	33	5.176647
6	34	4.937190
6	35	2.406161
6	36	4.107015
6	37	4.532175
6	38	3.812102
6	39	5.780506
6	40	4.770653
6	41	5.085866
6	42	2.937624
6	43	2.026231
6	44	4.122102
6	45	2.681414
6	46	4.538785
6	47	4.267004
6	48	3.207013
6	49	2.949000
6	50	3.714141
6	51	0.000000
6	52	4.478410
6	53	4.493151
6	54	3.730816
6	55	4.990134
6	56	6.115591
6	57	2.279190
6	58	4.807938
6	59	1.800904
6	60	7.070909
6	61	0.000000
6	62	0.000000
6	63	0.000000
6	64	0.000000
6	65	0.000000
6	66	0.000000
6	67	0.000000
6	68	0.000000
6	69	0.000000
6	70	0.000000
6	71	0.000000
6	72	0.000000
6	73	0.000000
6	74	0.000000
6	75	0.000000
6	76	0.000000
7	0	0.000000
7	1	0.000000
7	2	0.000000
7	3	0.000000
7	4	0.000000
7	5	0.000000
7	6	0.000000
7	7	0.000000
7	8	0.000000
7	9	0.000000
7	10	0.000000
7	11	0.000000
7	12	0.000000
7	13	0.000000
7	14	4.692504
7	15	2.441645
7	16	5.503512
7	17	4.949750
7	18	3.030589
7	19	6.627908
7	20	3.070380
7	21	2.510072
7	22	3.737001
7	23	4.321565
7	24	5.992265
7	25	3.987721
7	26	3.777888
7	27	8.110339
7	28	4.894062
7	29	6.941424
7	30	4.238359
7	31	5.314948
7	32	4.871936
7	33	3.094387
7	34	5.146215
7	35	4.959241
7	36	1.734541
7	37	4.227729
7	38	4.691116
7	39	4.699549
7	40	3.722886
7	41	4.988405
7	42	4.268092
7	43	3.284938
7	44	3.542143
7	45	3.384718
7	46	2.114625
7	47	4.082221
7	48	6.059371
7	49	4.756003
7	50	2.818868
7	51	4.363299
7	52	3.422780
7	53	4.011848
7	54	6.550142
7	55	5.565634
7	56	4.213142
7	57	5.927704
7	58	5.210783
7	59	5.802251
7	60	2.076216
7	61	6.509675
7	62	0.000000
7	63	0.000000
7	64	0.000000
7	65	0.000000
7	66	0.000000
7	67	0.000000
7	68	0.000000
7	69	0.000000
7	70	0.000000
7	71	0.000000
7	72	0.000000
7	73	0.000000
7	74	0.000000
7	75	0.000000
7	76	0.000000
8	0	0.000000
8	1	0.000000
8	2	0.000000
8	3	0.000000
8	4	0.000000
8	5	0.000000
8	6	0.000000
8	7	0.000000
8	8	0.000000
8	9	0.000000
8	10	0.000000
8	11	0.000000
8	12	0.000000
8	13	0.000000
8	14	3.692777
8	15	0.000000
8	16	1.472784
8	17	3.479081
8	18	3.083824
8	19	4.000749
8	20	6.088815
8	21	5.246574
8	22	4.240150
8	23	4.572068
8	24	5.972533
8	25	4.777379
8	26	3.833994
8	27	5.524434
8	28	4.908390
8	29	5.108342
8	30	6.475100
8	31	3.968030
8	32	5.023891
8	33	5.405294
8	34	4.202410
8	35	5.491639
8	36	4.580559
8	37	2.583584
8	38	5.901133
8	39	7.586304
8	40	4.805332
8	41	2.599083
8	42	3.994628
8	43	0.746331
8	44	3.003133
8	45	5.235073
8	46	2.081402
8	47	0.000000
8	48	3.030754
8	49	5.628907
8	50	3.957056
8	51	4.589991
8	52	3.908530
8	53	4.178185
8	54	5.289658
8	55	3.302295
8	56	2.017507
8	57	6.017490
8	58	6.425653
8	59	5.910034
8	60	3.294260
8	61	6.868297
8	62	4.369135
8	63	0.000000
8	64	0.000000
8	65	0.000000
8	66	0.000000
8	67	0.000000
8	68	0.000000
8	69	0.000000
8	70	0.000000
8	71	0.000000
8	72	0.000000
8	73	0.000000
8	74	0.000000
8	75	0.000000
8	76	0.000000
9	0	0.000000
9	1	0.000000
9	2	0.000000
9	3	0.000000
9	4	0.000000
9	5	0.000000
9	6	0.000000
9	7	0.000000
9	8	0.000000
9	9	0.000000
9	10	0.000000
9	11	0.000000
9	12	0.000000
9	13	0.000000
9	14	5.640039
9	15	4.605665
9	16	4.505584
9	17	3.954900
9	18	5.287927
9	19	5.781378
9	20	0.000000
9	21	3.447084
9	22	3.176580
9	23	3.728803
9	24	2.429380
9	25	5.570717
9	26	4.692735
9	27	4.843538
9	28	3.916903
9	29	5.075754
9	30	5.529997
9	31	4.558157
9	32	6.179513
9	33	3.511422
9	34	4.524288
9	35	6.243698
9	36	5.380059
9	37	5.644634
9	38	4.525804
9	39	7.532171
9	40	5.767062
9	41	5.733714
9	42	0.000000
9	43	4.951226
9	44	3.167337
9	45	2.718026
9	46	4.668438
9	47	4.885762
9	48	4.501605
9	49	3.956815
9	50	4.699262
9	51	4.793011
9	52	2.669207
9	53	3.162489
9	54	6.174722
9	55	2.645333
9	56	0.000000
9	57	4.677414
9	58	6.029773
9	59	4.951868
9	60	6.268703
9	61	6.718411
9	62	4.731704
9	63	6.586259
9	64	12.267127
9	65	0.000000
9	66	0.000000
9	67	0.000000
9	68	0.000000
9	69	0.000000
9	70	0.000000
9	71	0.000000
9	72	0.000000
9	73	0.000000
9	74	0.000000
9	75	0.000000
9	76	0.000000
10	0	0.000000
10	1	0.000000
10	2	0.000000
10	3	0.000000
10	4	0.000000
10	5	0.000000
10	6	0.000000
10	7	0.000000
10	8	0.000000
10	9	0.000000
10	10	0.000000
10	11	3.887126
10	12	2.294595
10	13	2.830385
10	14	2.898156
10	15	2.458432
10	16	2.757086
10	17	0.000000
10	18	2.507309
10	19	4.959368
10	20	1.886459
10	21	3.578859
10	22	4.324249
10	23	5.767858
10	24	5.143274
10	25	4.221381
10	26	2.680910
10	27	3.724795
10	28	4.082154
10	29	5.549220
10	30	5.767517
10	31	4.777071
10	32	3.953270
10	33	3.094410
10	34	2.490866
10	35	3.527335
10	36	6.214288
10	37	5.021010
10	38	4.348298
10	39	7.310022
10	40	5.743631
10	41	3.697192
10	42	3.848608
10	43	4.010264
10	44	3.828699
10	45	4.271738
10	46	3.677629
10	47	4.122516
10	48	2.297613
10	49	7.393970
10	50	4.875863
10	51	2.083844
10	52	5.860919
10	53	5.044657
10	54	3.388992
10	55	5.229360
10	56	7.712941
10	57	5.448288
10	58	7.778323
10	59	6.244257
10	60	5.545370
10	61	4.153345
10	62	4.680254
10	63	5.343459
10	64	3.448226
10	65	0.000000
10	66	0.000000
10	67	0.000000
10	68	0.000000
10	69	0.000000
10	70	0.000000
10	71	0.000000
10	72	0.000000
10	73	0.000000
10	74	0.000000
10	75	0.000000
10	76	0.000000
11	0	0.000000
11	1	0.000000
11	2	0.000000
11	3	0.000000
11	4	0.000000
11	5	0.000000
11	6	0.000000
11	7	0.000000
11	8	0.000000
11	9	0.000000
11	10	0.000000
11	11	5.941494
11	12	3.580174
11	13	0.000000
11	14	3.349884
11	15	3.834108
11	16	3.590304
11	17	2.152515
11	18	4.362624
11	19	5.771247
11	20	3.731463
11	21	5.134332
11	22	4.475111
11	23	3.595961
11	24	4.265902
11	25	5.033571
11	26	5.394098
11	27	2.905907
11	28	6.750223
11	29	6.188356
11	30	6.187863
11	31	4.707127
11	32	4.476548
11	33	5.222562
11	34	4.379782
11	35	4.510460
11	36	4.167666
11	37	5.548521
11	38	2.664721
11	39	6.695919
11	40	2.112398
11	41	5.641502
11	42	4.865747
11	43	3.455334
11	44	5.108594
11	45	1.696091
11	46	2.801843
11	47	5.566393
11	48	3.896141
11	49	2.021409
11	50	4.965698
11	51	7.344325
11	52	4.434065
11	53	4.500031
11	54	6.330325
11	55	6.598519
11	56	4.859603
11	57	3.533977
11	58	3.830377
11	59	5.754025
11	60	6.576229
11	61	2.769157
11	62	2.391734
