---------- Counts of Element Cu ----------
row	column	line1	line2	ratio
2	52	2203	377	5.835192
2	53	1752	309	5.660778
2	54	1254	225	5.573571
2	55	635	118	5.368285
2	56	192	0	0.000000
2	57	79	64	1.244592
2	58	0	0	0.000000
2	59	73	0	0.000000
2	60	0	0	0.000000
2	61	0	0	0.000000
2	62	0	0	0.000000
2	63	67	0	0.000000
2	64	76	0	0.000000
2	65	76	0	0.000000
2	66	0	0	0.000000
2	67	88	0	0.000000
2	68	0	0	0.000000
2	69	0	0	0.000000
2	70	76	0	0.000000
2	71	57	0	0.000000
2	72	0	0	0.000000
2	73	77	0	0.000000
2	74	0	0	0.000000
2	75	78	0	0.000000
2	76	66	0	0.000000
3	0	77	0	0.000000
3	1	74	0	0.000000
3	2	61	29	2.061586
3	3	0	0	0.000000
3	4	57	0	0.000000
3	5	0	0	0.000000
3	6	0	0	0.000000
3	7	0	0	0.000000
3	8	0	0	0.000000
3	9	66	0	0.000000
3	10	62	0	0.000000
3	11	0	0	0.000000
3	12	0	0	0.000000
3	13	0	0	0.000000
3	14	16	0	0.000000
3	15	10	0	0.000000
3	16	0	0	0.000000
3	17	194	26	7.273670
3	18	775	97	7.928737
3	19	1351	236	5.715820
3	20	1943	311	6.233199
3	21	2478	393	6.297791
3	22	2759	450	6.128409
3	23	2673	434	6.148885
3	24	2583	445	5.793755
3	25	2581	466	5.531239
3	26	2552	403	6.318952
3	27	2409	421	5.723185
3	28	2197	379	5.790269
3	29	2147	398	5.394182
3	30	2351	379	6.191309
3	31	2407	399	6.034124
3	32	2357	401	5.866435
3	33	2169	385	5.628327
3	34	2253	391	5.748300
3	35	2390	399	5.980776
3	36	2240	389	5.750205
3	37	2118	363	5.829818
3	38	2280	404	5.632492
3	39	2585	441	5.861154
3	40	2703	461	5.859000
3	41	2685	458	5.862607
3	42	2779	405	6.850338
3	43	2773	425	6.514361
3	44	2673	452	5.903618
3	45	2813	417	6.741826
3	46	2709	419	6.458498
3	47	2652	451	5.870590
3	48	2542	390	6.515296
3	49	2605	472	5.510201
3	50	2685	447	6.000890
3	51	2656	422	6.287440
3	52	2657	451	5.889278
3	53	2484	382	6.497405
3	54	2106	344	6.118044
3	55	1767	290	6.079465
3	56	1072	181	5.901809
3	57	443	90	4.888486
3	58	102	44	2.328834
3	59	88	0	0.000000
3	60	91	0	0.000000
3	61	86	0	0.000000
3	62	76	0	0.000000
3	63	59	0	0.000000
3	64	75	0	0.000000
3	65	71	48	1.482618
3	66	66	0	0.000000
3	67	0	0	0.000000
3	68	87	0	0.000000
3	69	0	0	0.000000
3	70	0	0	0.000000
3	71	79	51	1.535934
3	72	0	0	0.000000
3	73	0	0	0.000000
3	74	0	0	0.000000
3	75	0	0	0.000000
3	76	0	0	0.000000
4	0	0	0	0.000000
4	1	82	0	0.000000
4	2	0	0	0.000000
4	3	71	59	1.213138
4	4	0	0	0.000000
4	5	66	0	0.000000
4	6	0	0	0.000000
4	7	0	0	0.000000
4	8	0	0	0.000000
4	9	58	0	0.000000
4	10	69	0	0.000000
4	11	50	0	0.000000
4	12	0	0	0.000000
4	13	18	0	0.000000
4	14	0	0	0.000000
4	15	58	10	5.363631
4	16	435	66	6.507461
4	17	1130	183	6.152376
4	18	1691	259	6.529370
4	19	2347	405	5.783190
4	20	2514	406	6.178782
4	21	2642	458	5.765452
4	22	2644	504	5.247067
4	23	2717	408	6.648552
4	24	2730	414	6.584549
4	25	2774	421	6.581671
4	26	2584	428	6.032942
4	27	2519	403	6.242244
4	28	2220	399	5.551119
4	29	2252	391	5.754940
4	30	2418	410	5.890400
4	31	2546	454	5.597550
4	32	2412	461	5.232125
4	33	2404	395	6.086140
4	34	2491	438	5.684322
4	35	2535	429	5.905887
4	36	2451	394	6.217069
4	37	2142	374	5.721377
4	38	2128	366	5.806855
4	39	2572	420	6.110625
4	40	2714	450	6.023402
4	41	2686	433	6.194017
4	42	2626	421	6.228745
4	43	2763	458	6.030969
4	44	2794	451	6.193910
4	45	2657	464	5.718601
4	46	2589	442	5.857137
4	47	2607	438	5.939927
4	48	2686	399	6.717756
4	49	2612	407	6.416113
4	50	2591	445	5.812423
4	51	2462	418	5.886368
4	52	2368	397	5.955366
4	53	2660	454	5.852955
4	54	2682	447	5.996789
4	55	2399	406	5.902478
4	56	1970	297	6.611664
4	57	1202	221	5.425762
4	58	607	128	4.744380
4	59	133	56	2.348781
4	60	80	0	0.000000
4	61	0	0	0.000000
4	62	0	0	0.000000
4	63	61	0	0.000000
4	64	68	0	0.000000
4	65	0	0	0.000000
4	66	0	0	0.000000
4	67	85	0	0.000000
4	68	0	0	0.000000
4	69	0	0	0.000000
4	70	71	0	0.000000
4	71	0	0	0.000000
4	72	71	0	0.000000
4	73	57	0	0.000000
4	74	74	0	0.000000
4	75	75	0	0.000000
4	76	71	0	0.000000
5	0	68	0	0.000000
5	1	72	0	0.000000
5	2	0	0	0.000000
5	3	0	0	0.000000
5	4	84	0	0.000000
5	5	0	0	0.000000
5	6	0	0	0.000000
5	7	77	0	0.000000
5	8	63	0	0.000000
5	9	69	38	1.787444
5	10	61	0	0.000000
5	11	0	0	0.000000
5	12	19	0	0.000000
5	13	10	0	0.000000
5	14	136	37	3.605256
5	15	800	114	6.972794
5	16	1434	217	6.586423
5	17	2074	326	6.353194
5	18	2452	428	5.720601
5	19	2648	426	6.210084
5	20	2580	459	5.611568
5	21	2646	439	6.015593
5	22	2623	465	5.631477
5	23	2656	414	6.409006
5	24	2657	437	6.076936
5	25	2649	449	5.896821
5	26	2579	464	5.547936
5	27	2421	424	5.702604
5	28	2253	393	5.728661
5	29	2205	380	5.798079
5	30	2376	432	5.492426
5	31	2484	390	6.356627
5	32	2508	381	6.574005
5	33	2406	397	6.055038
5	34	2499	405	6.155592
5	35	2681	403	6.651855
5	36	2655	399	6.642770
5	37	2260	358	6.301738
5	38	2095	358	5.840119
5	39	2360	373	6.320210
5	40	2710	464	5.840411
5	41	2769	466	5.942348
5	42	2717	463	5.862108
5	43	2651	428	6.183124
5	44	2731	513	5.318221
5	45	2776	429	6.461248
5	46	2740	398	6.872020
5	47	2668	408	6.528016
5	48	2529	452	5.585144
5	49	2502	462	5.414171
5	50	2476	379	6.533143
5	51	2511	420	5.968913
5	52	2377	414	5.737333
5	53	2504	426	5.870226
5	54	2697	432	6.238117
5	55	2810	472	5.944596
5	56	2568	410	6.263057
5	57	2020	324	6.229932
5	58	1452	239	6.066124
5	59	807	144	5.585809
5	60	198	41	4.827423
5	61	83	0	0.000000
5	62	0	0	0.000000
5	63	69	0	0.000000
5	64	0	0	0.000000
5	65	0	0	0.000000
5	66	65	0	0.000000
5	67	93	40	2.314278
5	68	91	0	0.000000
5	69	0	0	0.000000
5	70	67	0	0.000000
5	71	63	0	0.000000
5	72	69	0	0.000000
5	73	76	0	0.000000
5	74	0	0	0.000000
5	75	84	0	0.000000
5	76	54	31	1.718723
6	0	0	0	0.000000
6	1	68	0	0.000000
6	2	84	0	0.000000
6	3	75	0	0.000000
6	4	71	0	0.000000
6	5	0	0	0.000000
6	6	0	0	0.000000
6	7	57	53	1.077177
6	8	0	0	0.000000
6	9	46	0	0.000000
6	10	0	0	0.000000
6	11	0	0	0.000000
6	12	22	0	0.000000
6	13	218	37	5.763158
6	14	989	156	6.309202
6	15	1831	288	6.340848
6	16	2333	373	6.252545
6	17	2702	447	6.034488
6	18	2627	444	5.917024
6	19	2612	435	5.999975
6	20	2642	459	5.756341
6	21	2701	455	5.931305
6	22	2704	426	6.341604
6	23	2755	430	6.408233
6	24	2738	452	6.056043
6	25	2716	445	6.090784
6	26	2588	438	5.905453
6	27	2367	413	5.726442
6	28	2251	372	6.044932
6	29	2273	381	5.953345
6	30	2406	407	5.907485
6	31	2533	380	6.656343
6	32	2348	401	5.848750
6	33	2343	404	5.794031
6	34	2404	410	5.863641
6	35	2561	389	6.569850
6	36	2625	431	6.089031
6	37	2222	372	5.963658
6	38	2031	329	6.159711
6	39	2234	396	5.637667
6	40	2641	447	5.900204
6	41	2807	482	5.819306
6	42	2840	442	6.416344
6	43	2760	412	6.687553
6	44	2751	452	6.074497
6	45	2880	443	6.490401
6	46	2914	488	5.967152
6	47	2757	456	6.038902
6	48	2710	427	6.346908
6	49	2511	391	6.410393
6	50	2499	403	6.190989
6	51	2491	405	6.137817
6	52	2461	411	5.976954
6	53	2585	432	5.971175
6	54	2652	428	6.188018
6	55	2638	451	5.848261
6	56	2650	477	5.554477
6	57	2417	365	6.607903
6	58	1970	334	5.894186
6	59	1374	203	6.756438
6	60	803	151	5.312505
6	61	234	73	3.191690
6	62	86	0	0.000000
6	63	0	0	0.000000
6	64	0	0	0.000000
6	65	70	0	0.000000
6	66	0	0	0.000000
6	67	0	0	0.000000
6	68	79	0	0.000000
6	69	0	0	0.000000
6	70	83	0	0.000000
6	71	0	0	0.000000
6	72	79	0	0.000000
6	73	83	61	1.356785
6	74	0	0	0.000000
6	75	88	0	0.000000
6	76	65	0	0.000000
7	0	86	0	0.000000
7	1	72	0	0.000000
7	2	0	0	0.000000
7	3	0	0	0.000000
7	4	0	0	0.000000
7	5	67	0	0.000000
7	6	70	0	0.000000
7	7	73	0	0.000000
7	8	48	0	0.000000
7	9	0	0	0.000000
7	10	0	0	0.000000
7	11	10	0	0.000000
7	12	214	32	6.521025
7	13	1038	161	6.426380
7	14	1933	326	5.915058
7	15	2616	398	6.560188
7	16	2731	478	5.706512
7	17	2596	443	5.858688
7	18	2636	412	6.388409
7	19	2632	485	5.428483
7	20	2727	427	6.384281
7	21	2693	411	6.552779
7	22	2707	437	6.186274
7	23	2726	452	6.027031
7	24	2665	477	5.578993
7	25	2621	428	6.112431
7	26	2535	410	6.180268
7	27	2363	466	5.060552
7	28	2209	376	5.870691
7	29	2097	392	5.346415
7	30	2355	389	6.042047
7	31	2455	426	5.756534
7	32	2470	420	5.869840
7	33	2354	369	6.379245
7	34	2143	369	5.799840
7	35	2343	400	5.850944
7	36	2607	384	6.778175
7	37	2447	404	6.047168
7	38	2028	342	5.931127
7	39	2045	345	5.920943
7	40	2498	403	6.192235
7	41	2802	479	5.846793
7	42	2775	459	6.045806
7	43	2713	429	6.311986
7	44	2800	448	6.247336
7	45	2751	437	6.294663
7	46	2929	439	6.672941
7	47	2817	462	6.089075
7	48	2551	458	5.560214
7	49	2560	433	5.902692
7	50	2526	391	6.449451
7	51	2474	411	6.014572
7	52	2432	387	6.283122
7	53	2508	410	6.109806
7	54	2478	455	5.435752
7	55	2615	459	5.686241
7	56	2485	410	6.052560
7	57	2219	396	5.602124
7	58	2183	377	5.783715
7	59	1826	324	5.629138
7	60	1437	215	6.668801
7	61	873	160	5.428440
7	62	338	96	3.496599
7	63	0	0	0.000000
7	64	76	0	0.000000
7	65	68	0	0.000000
7	66	74	0	0.000000
7	67	0	0	0.000000
7	68	0	0	0.000000
7	69	0	0	0.000000
7	70	0	0	0.000000
7	71	0	0	0.000000
7	72	61	48	1.267496
7	73	55	39	1.425490
7	74	0	0	0.000000
7	75	0	0	0.000000
7	76	65	0	0.000000
8	0	0	0	0.000000
8	1	82	49	1.678238
8	2	0	0	0.000000
8	3	74	42	1.765270
8	4	73	0	0.000000
8	5	0	0	0.000000
8	6	54	0	0.000000
8	7	52	0	0.000000
8	8	34	0	0.000000
8	9	26	0	0.000000
8	10	12	0	0.000000
8	11	185	26	6.928285
8	12	932	157	5.906995
8	13	1938	312	6.209696
8	14	2638	425	6.206035
8	15	2962	446	6.635886
8	16	2714	395	6.869560
8	17	2689	429	6.259779
8	18	2770	434	6.376274
8	19	2699	441	6.111584
8	20	2631	473	5.555533
8	21	2613	452	5.773498
8	22	2603	430	6.044502
