---------- Counts of Element Pb ----------
row	column	line1	line2	ratio
9	15	50	34	1.439261
9	16	50	30	1.688882
9	17	26	24	1.064374
9	18	39	40	0.958795
9	19	52	24	2.089759
9	20	37	27	1.383634
9	21	35	16	2.145514
10	0	19	19	1.000184
10	1	38	26	1.431842
10	2	31	25	1.248719
10	3	25	26	0.969271
10	4	34	18	1.876589
10	5	63	37	1.700995
10	6	42	33	1.262854
10	7	41	29	1.389872
10	8	74	24	3.044196
10	9	35	35	1.011230
10	10	39	36	1.085552
10	11	42	31	1.331713
10	12	53	33	1.601746
10	13	50	22	2.266902
10	14	52	43	1.210523
10	15	44	39	1.132578
10	16	50	35	1.436939
10	17	48	34	1.409760
10	18	49	36	1.352986
10	19	44	27	1.633559
10	20	32	24	1.336258
10	21	32	17	1.811966
11	0	37	24	1.529682
11	1	30	26	1.165296
11	2	24	17	1.354719
11	3	48	21	2.229712
11	4	51	31	1.669546
11	5	51	19	2.609183
11	6	32	32	0.999814
11	7	35	37	0.941558
11	8	43	30	1.417475
11	9	49	29	1.685060
11	10	58	28	2.017605
11	11	61	33	1.824718
11	12	51	31	1.650469
11	13	56	40	1.396836
11	14	62	30	2.048392
11	15	37	45	0.818338
11	16	68	38	1.790278
11	17	34	28	1.186600
11	18	31	42	0.753333
11	19	41	35	1.192304
11	20	37	32	1.140488
11	21	26	23	1.128897
12	0	45	17	2.583889
12	1	25	24	1.030276
12	2	35	28	1.257351
12	3	44	18	2.350539
12	4	48	32	1.468879
12	5	45	21	2.065458
12	6	60	33	1.828984
12	7	44	50	0.885565
12	8	52	38	1.367834
12	9	70	39	1.783721
12	10	44	40	1.111010
12	11	53	26	1.998594
12	12	31	39	0.797623
12	13	57	40	1.395812
12	14	51	37	1.387602
12	15	57	45	1.257365
12	16	58	48	1.191647
12	17	54	55	0.982303
12	18	42	36	1.163150
12	19	44	35	1.267233
12	20	47	15	3.121981
12	21	36	29	1.249237
13	0	36	22	1.625481
13	1	33	25	1.300314
13	2	40	23	1.697645
13	3	35	29	1.197042
13	4	45	24	1.898925
13	5	42	23	1.795939
13	6	40	23	1.735412
13	7	34	33	1.016712
13	8	44	35	1.229847
13	9	52	32	1.606144
13	10	59	29	2.027215
13	11	60	22	2.679348
13	12	61	27	2.253116
13	13	55	31	1.759581
13	14	66	42	1.552560
13	15	46	45	1.015799
13	16	60	44	1.362888
13	17	53	33	1.603107
13	18	47	44	1.063606
13	19	53	33	1.605668
13	20	45	28	1.598289
13	21	33	23	1.448524
14	0	23	13	1.797145
14	1	31	26	1.193708
14	2	26	31	0.862916
14	3	23	23	1.012653
14	4	30	31	0.980983
14	5	32	27	1.161633
14	6	36	30	1.216821
14	7	45	27	1.662342
14	8	43	28	1.518617
14	9	41	23	1.746785
14	10	48	40	1.208729
14	11	48	38	1.274944
14	12	37	30	1.224892
14	13	45	25	1.762369
14	14	56	51	1.112886
14	15	52	35	1.488537
14	16	66	48	1.381946
14	17	83	47	1.779696
14	18	78	38	2.050158
14	19	50	49	1.020018
14	20	19	32	0.594701
14	21	34	18	1.868213
15	0	20	16	1.191324
15	1	16	14	1.140200
15	2	29	17	1.667234
15	3	30	20	1.444331
15	4	23	16	1.424690
15	5	47	14	3.203394
15	6	56	35	1.617426
15	7	63	29	2.133751
15	8	46	36	1.283976
15	9	53	38	1.376213
15	10	56	31	1.812739
15	11	53	40	1.323014
15	12	28	39	0.738673
15	13	62	45	1.362692
15	14	56	26	2.165663
15	15	47	32	1.475123
15	16	57	54	1.054468
15	17	75	53	1.403806
15	18	56	37	1.535144
15	19	58	29	1.990076
15	20	35	20	1.713759
15	21	54	26	2.069100
16	0	29	16	1.728122
16	1	31	22	1.382070
16	2	22	17	1.293143
16	3	38	29	1.307298
16	4	30	29	1.028871
16	5	31	33	0.939956
16	6	38	34	1.116460
16	7	48	32	1.476857
16	8	49	31	1.570123
16	9	66	32	2.035600
16	10	51	43	1.188077
16	11	82	38	2.167430
16	12	57	23	2.479951
16	13	45	47	0.955165
16	14	41	32	1.276575
16	15	67	50	1.330751
16	16	70	28	2.453095
16	17	67	25	2.630415
16	18	61	44	1.384032
16	19	41	20	1.997088
16	20	41	29	1.416512
