---------- Counts of Element Ca ----------
row	column	line1	line2	ratio
11	9	16	0	inf
11	10	19	0	inf
11	11	15	0	inf
11	12	20	0	inf
11	13	16	0	inf
11	14	13	0	inf
11	15	15	0	inf
11	16	12	0	inf
11	17	11	0	inf
11	18	16	0	inf
11	19	16	0	inf
11	20	19	0	inf
11	21	13	0	inf
12	0	17	0	inf
12	1	17	0	inf
12	2	4	0	inf
12	3	14	0	inf
12	4	15	0	inf
12	5	15	0	inf
12	6	19	0	inf
12	7	12	0	inf
12	8	20	0	inf
12	9	16	0	inf
12	10	27	0	inf
12	11	19	0	inf
12	12	15	0	inf
12	13	13	0	inf
12	14	18	0	inf
12	15	8	0	inf
12	16	12	0	inf
12	17	17	0	inf
12	18	8	0	inf
12	19	15	0	inf
12	20	10	0	inf
12	21	12	0	inf
13	0	11	0	inf
13	1	20	0	inf
13	2	12	0	inf
13	3	9	0	inf
13	4	8	0	inf
13	5	18	0	inf
13	6	12	0	inf
13	7	15	0	inf
13	8	25	0	inf
13	9	18	0	inf
13	10	18	0	inf
13	11	16	0	inf
13	12	21	0	inf
13	13	18	0	inf
13	14	14	0	inf
13	15	10	0	inf
13	16	7	0	inf
13	17	22	0	inf
13	18	19	0	inf
13	19	15	0	inf
13	20	12	0	inf
13	21	5	0	inf
14	0	4	0	inf
14	1	11	0	inf
14	2	12	0	inf
14	3	18	0	inf
14	4	20	0	inf
14	5	15	0	inf
14	6	16	0	inf
14	7	8	0	inf
14	8	11	0	inf
14	9	13	0	inf
14	10	21	0	inf
14	11	17	0	inf
14	12	8	0	inf
14	13	21	0	inf
14	14	13	0	inf
14	15	20	0	inf
14	16	12	0	inf
14	17	21	0	inf
14	18	23	0	inf
14	19	15	0	inf
14	20	16	0	inf
14	21	14	0	inf
15	0	17	0	inf
15	1	14	0	inf
15	2	16	0	inf
15	3	9	0	inf
15	4	16	0	inf
15	5	20	0	inf
15	6	15	0	inf
15	7	15	0	inf
15	8	23	0	inf
15	9	12	0	inf
15	10	17	0	inf
15	11	18	0	inf
15	12	16	0	inf
15	13	13	0	inf
15	14	10	0	inf
15	15	20	0	inf
15	16	21	0	inf
15	17	14	0	inf
15	18	14	0	inf
15	19	17	0	inf
